DatasetID,year1,author1,DATA (B) 0.1,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-DIG (B) 0.955,EN (EV) 1.1,EN-ERR-DIG (EV) 1.955,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D6089002,1967,K.K.Sekharan+,0.012709,12,2,5.0e-4,1.9421e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.014116,12,2,5.0e-4,1.9504e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.015244,12,2,5.0e-4,1.9643e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.016792,12,2,5.0e-4,1.9754e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.018339,12,2,5.0e-4,1.9808e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.019606,12,2,5.0e-4,1.9919e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.021014,12,2,5.0e-4,2.0002e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.02214,12,2,5.0e-4,2.0085e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.023266,12,2,5.0e-4,2.0168e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.024532,12,2,5.0e-4,2.0223e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.025657,12,2,5.0e-4,2.0278e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.026783,12,2,5.0e-4,2.0361e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.028189,12,2,5.0e-4,2.0388e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.029736,12,2,5.0e-4,2.0471e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.031846,12,2,5.0e-4,2.0553e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.033954,12,2,5.0e-4,2.0578e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.035922,12,2,5.0e-4,2.0633e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.039858,12,2,5.0e-4,2.0713e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.038172,12,2,5.0e-4,2.0714e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.041545,12,2,5.0e-4,2.0767e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.043374,12,2,5.0e-4,2.0849e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.045201,12,2,5.0e-4,2.0904e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.046047,12,2,5.0e-4,2.0987e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.044646,12,2,5.0e-4,2.1157e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.043384,12,2,5.0e-4,2.1215e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.041982,12,2,5.0e-4,2.1329e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.040859,12,2,5.0e-4,2.1358e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.039317,12,2,5.0e-4,2.15e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.037776,12,2,5.0e-4,2.1643e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.040731,12,2,5.0e-4,2.1808e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.043824,12,2,5.0e-4,2.1917e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.047198,12,2,5.0e-4,2.1998e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.050713,12,2,5.0e-4,2.2078e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.053946,12,2,5.0e-4,2.2159e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.058021,12,2,5.0e-4,2.2211e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.062237,12,2,5.0e-4,2.2263e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.066313,12,2,5.0e-4,2.2343e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.069967,12,2,5.0e-4,2.2395e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.072356,12,2,5.0e-4,2.242e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.073622,12,2,5.0e-4,2.2475e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.07489,12,2,5.0e-4,2.2614e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.073066,12,2,5.0e-4,2.2673e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.069277,12,2,5.0e-4,2.2817e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.066188,12,2,5.0e-4,2.2877e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.063381,12,2,5.0e-4,2.2992e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.060855,12,2,5.0e-4,2.308e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.058609,12,2,5.0e-4,2.3138e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.056925,12,2,5.0e-4,2.3224e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.055521,12,2,5.0e-4,2.3254e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.054399,12,2,5.0e-4,2.3312e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.053136,12,2,5.0e-4,2.3369e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.052015,12,2,5.0e-4,2.3483e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.053285,12,2,5.0e-4,2.3678e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.055253,12,2,5.0e-4,2.3732e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.057081,12,2,5.0e-4,2.3787e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.058487,12,2,5.0e-4,2.384e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.059892,12,2,5.0e-4,2.3841e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.061439,12,2,5.0e-4,2.3894e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.063689,12,2,5.0e-4,2.3976e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.065798,12,2,5.0e-4,2.403e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.06819,12,2,5.0e-4,2.4168e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.065103,12,2,5.0e-4,2.4312e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.061172,12,2,5.0e-4,2.4401e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.056819,12,2,5.0e-4,2.4462e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.053027,12,2,5.0e-4,2.4522e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.049796,12,2,5.0e-4,2.4526e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.04727,12,2,5.0e-4,2.4613e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.041792,12,2,5.0e-4,2.4647e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.037582,12,2,5.0e-4,2.482e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.034633,12,2,5.0e-4,2.4852e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.031544,12,2,5.0e-4,2.4939e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.030001,12,2,5.0e-4,2.4997e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.027755,12,2,5.0e-4,2.5084e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.026071,12,2,5.0e-4,2.5142e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.023265,12,2,5.0e-4,2.5258e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.02102,12,2,5.0e-4,2.5373e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.019901,12,2,5.0e-4,2.5543e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.022295,12,2,5.0e-4,2.5765e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.034802,12,2,5.0e-4,2.592e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.043097,12,2,5.0e-4,2.6136e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.029053,12,2,5.0e-4,2.6292e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.02498,12,2,5.0e-4,2.6352e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.021611,12,2,5.0e-4,2.6441e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.019647,12,2,5.0e-4,2.6527e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.030187,12,2,5.0e-4,2.6684e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.04438,12,2,5.0e-4,2.6809e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.035252,12,2,5.0e-4,2.696e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.027528,12,2,5.0e-4,2.7025e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.023174,12,2,5.0e-4,2.7086e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.021349,12,2,5.0e-4,2.7116e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.020085,12,2,5.0e-4,2.7145e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.017419,12,2,5.0e-4,2.7261e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.023745,12,2,5.0e-4,2.7422e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.033583,12,2,5.0e-4,2.7552e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.036957,12,2,5.0e-4,2.7633e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
