DATA (B) 0.1,ERR-T (B) 0.911,EN-CM (EV) 1.1
6.1e-11,3.7e-11,3.6488e+5
1.4e-10,8.0e-11,3.8842e+5
1.7e-10,8.0e-11,3.93651e+5
1.9e-10,9.3e-11,3.98883e+5
2.2e-10,1.0e-10,4.02806e+5
3.3e-10,1.1e-10,4.08037e+5
3.6e-10,1.2e-10,4.14576e+5
3.9e-10,1.4e-10,4.185e+5
4.9e-10,1.4e-10,4.28962e+5
7.2e-10,2.0e-10,4.36809e+5
1.1e-9,2.2e-10,4.47272e+5
1.6e-9,3.8e-10,4.57734e+5
2.2e-9,4.4e-10,4.66889e+5
3.0e-9,6.0e-10,4.77351e+5
4.1e-9,7.7e-10,4.87814e+5
5.5e-9,9.4e-10,4.96969e+5
7.7e-9,1.3e-9,5.07431e+5
1.4e-8,1.9e-9,5.27048e+5
2.4e-8,2.9e-9,5.46665e+5
3.9e-8,4.7e-9,5.66283e+5
7.0e-8,8.4e-9,5.859e+5

2.4e-7,2.4e-8,6.35597e+5
7.1e-7,7.1e-8,6.85293e+5
2.2e-6,2.0e-7,7.3499e+5
5.8e-6,5.2e-7,7.84687e+5
1.4e-5,1.2e-6,8.34384e+5
3.3e-5,3.0e-6,8.84081e+5
7.4e-5,6.7e-6,9.33778e+5

1.7e-4,1.5e-5,9.93937e+5
2.8e-4,2.5e-5,1.03186e+6
3.4e-4,3.1e-5,1.04102e+6
4.0e-4,3.6e-5,1.04625e+6
8.7e-4,7.8e-5,1.05148e+6
0.002,1.8e-4,1.05671e+6
0.0021,1.9e-4,1.06194e+6
0.002,1.8e-4,1.06587e+6
0.0016,1.4e-4,1.0711e+6
0.0011,9.5e-5,1.07633e+6
6.2e-4,5.6e-5,1.08156e+6
5.8e-4,5.2e-5,1.08679e+6
5.8e-4,5.2e-5,1.09202e+6

7.9e-4,7.1e-5,1.14041e+6
9.8e-4,8.9e-5,1.19011e+6
0.0011,1.0e-4,1.24896e+6

0.0013,1.2e-4,1.30912e+6
0.0014,1.2e-4,1.31958e+6
0.0015,1.4e-4,1.33004e+6
0.0043,3.9e-4,1.33397e+6
0.0058,5.2e-4,1.3392e+6
0.0059,5.3e-4,1.34443e+6
0.0052,4.7e-4,1.34966e+6
0.0031,2.8e-4,1.35489e+6
0.0018,1.6e-4,1.36012e+6
0.0015,1.3e-4,1.36928e+6
0.0015,1.3e-4,1.3889e+6