DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
0.03865,4.89e-4,2.6262e+6,0.15
0.03486,4.65e-4,2.6312e+6,0.15
0.03277,4.51e-4,2.6372e+6,0.15
0.03244,4.49e-4,2.6422e+6,0.15
0.03133,4.41e-4,2.6482e+6,0.15
0.03235,4.49e-4,2.6532e+6,0.15
0.03217,4.48e-4,2.6582e+6,0.15
0.03496,4.66e-4,2.6642e+6,0.15
0.0439,5.2e-4,2.6692e+6,0.15
0.08503,7.19e-4,2.6743e+6,0.15
0.1352,9.04e-4,2.6803e+6,0.15
0.07995,6.98e-4,2.6853e+6,0.15
0.04843,5.45e-4,2.6913e+6,0.15
0.03741,4.82e-4,2.6963e+6,0.15
0.03295,4.53e-4,2.7013e+6,0.15
0.03125,4.42e-4,2.7073e+6,0.15
0.03051,4.36e-4,2.7123e+6,0.15
0.02831,4.21e-4,2.7183e+6,0.15
0.02769,4.17e-4,2.7233e+6,0.15
0.02714,4.13e-4,2.7293e+6,0.15
0.02867,4.25e-4,2.7343e+6,0.15
0.0289,4.26e-4,2.7393e+6,0.15
0.03119,4.42e-4,2.7453e+6,0.15
0.03512,4.67e-4,2.7503e+6,0.15
0.04766,5.41e-4,2.7563e+6,0.15
0.08241,7.08e-4,2.7613e+6,0.15
0.09494,7.6e-4,2.7673e+6,0.15
0.05929,6.03e-4,2.7723e+6,0.15
0.04279,5.15e-4,2.7783e+6,0.15
0.03972,4.97e-4,2.7833e+6,0.15
0.0423,5.12e-4,2.7893e+6,0.15
0.05332,5.72e-4,2.7943e+6,0.15
0.08556,7.22e-4,2.8003e+6,0.15
0.203,0.001107,2.8053e+6,0.15
0.2617,0.001256,2.8113e+6,0.15
0.0963,7.66e-4,2.8173e+6,0.15
0.05973,6.05e-4,2.8223e+6,0.15
0.04476,5.27e-4,2.8283e+6,0.15
0.03784,4.85e-4,2.8333e+6,0.15
0.0318,4.46e-4,2.8383e+6,0.15
0.03026,4.37e-4,2.8443e+6,0.15
0.02905,4.28e-4,2.8503e+6,0.15
0.02812,4.22e-4,2.8553e+6,0.15
0.02732,4.15e-4,2.8613e+6,0.15
0.02639,4.09e-4,2.8663e+6,0.15
0.02577,4.05e-4,2.8723e+6,0.15
0.02561,4.04e-4,2.8773e+6,0.15
0.02561,4.04e-4,2.8833e+6,0.15
0.02491,3.99e-4,2.8893e+6,0.15
0.02475,3.97e-4,2.9003e+6,0.15
0.02477,3.98e-4,2.9053e+6,0.15
0.02504,4.0e-4,2.9113e+6,0.15
0.02722,4.16e-4,2.9173e+6,0.15
0.02537,4.02e-4,2.9223e+6,0.15
0.02564,4.04e-4,2.9283e+6,0.15
0.02557,4.04e-4,2.9343e+6,0.15
0.02608,4.07e-4,2.9393e+6,0.15
0.02608,4.07e-4,2.9453e+6,0.15
0.02692,4.14e-4,2.9513e+6,0.15
0.02667,4.13e-4,2.9564e+6,0.15
0.02708,4.15e-4,2.9624e+6,0.15
0.02836,4.24e-4,2.9684e+6,0.15
0.02877,4.27e-4,2.9734e+6,0.15
0.02945,4.33e-4,2.9794e+6,0.15
0.03102,4.43e-4,2.9854e+6,0.15
0.03145,4.46e-4,2.9904e+6,0.15
0.0331,4.57e-4,2.9964e+6,0.15
0.03506,4.7e-4,3.0024e+6,0.15
0.03713,4.83e-4,3.0084e+6,0.15
0.04038,5.02e-4,3.0134e+6,0.15
0.0426,5.16e-4,3.0194e+6,0.15
0.04759,5.44e-4,3.0254e+6,0.15
0.05129,5.64e-4,3.0304e+6,0.15
0.05687,5.94e-4,3.0364e+6,0.15
0.06248,6.21e-4,3.0424e+6,0.15
0.06629,6.39e-4,3.0474e+6,0.15
0.07036,6.59e-4,3.0534e+6,0.15
0.0718,6.65e-4,3.0594e+6,0.15
0.06973,6.55e-4,3.0654e+6,0.15
0.06864,6.5e-4,3.0714e+6,0.15
0.06703,6.43e-4,3.0764e+6,0.15
0.0645,6.31e-4,3.0824e+6,0.15
0.06276,6.23e-4,3.0884e+6,0.15
0.05958,6.08e-4,3.0944e+6,0.15
0.05742,5.97e-4,3.1004e+6,0.15
0.05616,5.91e-4,3.1064e+6,0.15
0.05525,5.85e-4,3.1114e+6,0.15
0.0544,5.81e-4,3.1174e+6,0.15
0.05454,5.82e-4,3.1234e+6,0.15
0.05367,5.78e-4,3.1294e+6,0.15
0.05453,5.82e-4,3.1344e+6,0.15
0.05526,5.87e-4,3.1404e+6,0.15
0.05354,5.77e-4,3.1464e+6,0.15
0.05573,5.89e-4,3.1524e+6,0.15
0.05683,5.94e-4,3.1584e+6,0.15
0.05792,6.0e-4,3.1644e+6,0.15
0.06099,6.16e-4,3.1704e+6,0.15
0.0607,6.13e-4,3.1764e+6,0.15
0.0622,6.21e-4,3.1814e+6,0.15
0.0657,6.38e-4,3.1884e+6,0.15
0.06854,6.51e-4,3.1934e+6,0.15
0.06987,6.57e-4,3.1994e+6,0.15
0.07291,6.71e-4,3.2054e+6,0.15
0.0754,6.82e-4,3.2114e+6,0.15
0.07915,6.99e-4,3.2174e+6,0.15
0.08226,7.12e-4,3.2234e+6,0.15
0.08532,7.24e-4,3.2294e+6,0.15
0.09005,7.44e-4,3.2354e+6,0.15
0.09666,7.7e-4,3.2414e+6,0.15
0.1006,7.86e-4,3.2474e+6,0.15
0.1067,8.09e-4,3.2524e+6,0.15
0.1116,8.27e-4,3.2585e+6,0.15
0.1176,8.48e-4,3.2645e+6,0.15
0.1261,8.78e-4,3.2705e+6,0.15
0.1339,9.05e-4,3.2765e+6,0.15
0.14,9.25e-4,3.2825e+6,0.15
0.1472,9.49e-4,3.2885e+6,0.15
0.155,9.72e-4,3.2945e+6,0.15
0.159,9.85e-4,3.3005e+6,0.15
0.1644,0.001001,3.3065e+6,0.15
0.1684,0.001014,3.3125e+6,0.15
0.1684,0.001013,3.3185e+6,0.15
0.1679,0.001012,3.3245e+6,0.15
0.1645,0.001002,3.3305e+6,0.15
0.1601,9.88e-4,3.3365e+6,0.15
0.1531,9.67e-4,3.3425e+6,0.15
0.1475,9.49e-4,3.3485e+6,0.15
0.1369,9.15e-4,3.3545e+6,0.15
0.1288,8.88e-4,3.3605e+6,0.15
0.1197,8.57e-4,3.3665e+6,0.15
0.1131,8.33e-4,3.3725e+6,0.15
0.1049,8.03e-4,3.3785e+6,0.15
0.1035,7.98e-4,3.3845e+6,0.15
0.1023,7.94e-4,3.3905e+6,0.15
0.1055,8.05e-4,3.3965e+6,0.15
0.1131,8.34e-4,3.4035e+6,0.15
0.1325,9.01e-4,3.4085e+6,0.15
0.1463,9.46e-4,3.4155e+6,0.15
0.1424,9.35e-4,3.4215e+6,0.15
0.1171,8.48e-4,3.4275e+6,0.15
0.08985,7.46e-4,3.4335e+6,0.15
0.06885,6.55e-4,3.4395e+6,0.15
0.05678,5.96e-4,3.4455e+6,0.15
0.04814,5.52e-4,3.4515e+6,0.15
0.04129,5.13e-4,3.4575e+6,0.15
0.03623,4.82e-4,3.4645e+6,0.15
0.03157,4.53e-4,3.4695e+6,0.15
0.0285,4.31e-4,3.4765e+6,0.15
0.02548,4.1e-4,3.4825e+6,0.15
0.02323,3.94e-4,3.4885e+6,0.15
0.0213,3.78e-4,3.4945e+6,0.15
0.01975,3.66e-4,3.5005e+6,0.15
0.01798,3.51e-4,3.5075e+6,0.15
0.01639,3.37e-4,3.5135e+6,0.15
0.01511,3.26e-4,3.5195e+6,0.15
0.01348,3.11e-4,3.5255e+6,0.15
0.0129,3.05e-4,3.5315e+6,0.15
0.01162,2.92e-4,3.5375e+6,0.15
0.01141,2.89e-4,3.5435e+6,0.15
0.0108,2.84e-4,3.5505e+6,0.15
0.01032,2.79e-4,3.5565e+6,0.15
0.008544,2.6e-4,3.5626e+6,0.15
0.008661,2.61e-4,3.5686e+6,0.15
0.007862,2.51e-4,3.5756e+6,0.15
0.007636,2.49e-4,3.5816e+6,0.15
0.007018,2.41e-4,3.5876e+6,0.15
0.006625,2.36e-4,3.5936e+6,0.15
0.00599,2.29e-4,3.6006e+6,0.15
0.006087,2.31e-4,3.6066e+6,0.15
0.005167,2.18e-4,3.6126e+6,0.15
0.004706,2.12e-4,3.6186e+6,0.15
0.004417,2.07e-4,3.6246e+6,0.15
0.004591,2.1e-4,3.6316e+6,0.15
0.009371,2.7e-4,3.6376e+6,0.15
0.02197,3.87e-4,3.6436e+6,0.15
0.01444,3.23e-4,3.6496e+6,0.15
0.009001,2.67e-4,3.6566e+6,0.15
0.007534,2.5e-4,3.6626e+6,0.15
0.006115,2.33e-4,3.6686e+6,0.15
0.006721,2.39e-4,3.6756e+6,0.15
0.006331,2.35e-4,3.6816e+6,0.15
0.005513,2.24e-4,3.6876e+6,0.15
0.006144,2.33e-4,3.6946e+6,0.15
0.008248,2.59e-4,3.7006e+6,0.15
0.01676,3.44e-4,3.7066e+6,0.15
0.09167,7.56e-4,3.7136e+6,0.15
0.03491,4.78e-4,3.7196e+6,0.15
0.01252,3.05e-4,3.7256e+6,0.15
0.007347,2.49e-4,3.7326e+6,0.15
0.005571,2.27e-4,3.7386e+6,0.15
0.004855,2.17e-4,3.7446e+6,0.15
0.004182,2.09e-4,3.7516e+6,0.15
0.00391,2.04e-4,3.7576e+6,0.15
0.00367,2.01e-4,3.7646e+6,0.15
0.003577,2.0e-4,3.7706e+6,0.15
0.003236,1.95e-4,3.7766e+6,0.15
0.002676,1.86e-4,3.7836e+6,0.15
0.002945,1.91e-4,3.7896e+6,0.15
0.002804,1.88e-4,3.7966e+6,0.15
0.002765,1.88e-4,3.8026e+6,0.15
0.002615,1.86e-4,3.8126e+6,0.15
0.002413,1.84e-4,3.8156e+6,0.15
0.002455,1.83e-4,3.8216e+6,0.15
0.002112,1.78e-4,3.8286e+6,0.15
0.002287,1.81e-4,3.8346e+6,0.15
0.00249,1.84e-4,3.8406e+6,0.15
0.002163,1.8e-4,3.8476e+6,0.15
0.002084,1.79e-4,3.8536e+6,0.15
0.002238,1.81e-4,3.8606e+6,0.15
0.002404,1.84e-4,3.8666e+6,0.15
0.002107,1.8e-4,3.8737e+6,0.15
0.001548,1.7e-4,3.8797e+6,0.15
0.00201,1.79e-4,3.8867e+6,0.15
0.001959,1.78e-4,3.8927e+6,0.15
0.001894,1.77e-4,3.8987e+6,0.15
0.002187,1.82e-4,3.9057e+6,0.15
0.002576,1.88e-4,3.9117e+6,0.15
0.002608,1.9e-4,3.9187e+6,0.15
0.002666,1.91e-4,3.9247e+6,0.15
0.002506,1.9e-4,3.9317e+6,0.15
0.002783,1.94e-4,3.9377e+6,0.15
0.002959,1.96e-4,3.9447e+6,0.15
0.003172,2.0e-4,3.9517e+6,0.15
0.003671,2.08e-4,3.9577e+6,0.15
0.003778,2.1e-4,3.9647e+6,0.15
0.004591,2.22e-4,3.9707e+6,0.15
0.004534,2.21e-4,3.9777e+6,0.15
0.004946,2.27e-4,3.9847e+6,0.15
0.005353,2.31e-4,3.9907e+6,0.15
0.005517,2.34e-4,3.9977e+6,0.15
0.006159,2.42e-4,4.0037e+6,0.15
0.007163,2.55e-4,4.0107e+6,0.15
0.007344,2.57e-4,4.0167e+6,0.15
0.008461,2.7e-4,4.0237e+6,0.15
0.008255,2.68e-4,4.0297e+6,0.15
0.008774,2.74e-4,4.0367e+6,0.15
0.009011,2.78e-4,4.0437e+6,0.15
0.01031,2.92e-4,4.0497e+6,0.15
0.01028,2.9e-4,4.0567e+6,0.15
0.0111,2.99e-4,4.0637e+6,0.15
0.01162,3.04e-4,4.0697e+6,0.15
0.01343,3.23e-4,4.0767e+6,0.15
0.01369,3.25e-4,4.0767e+6,0.15
0.01883,3.7e-4,4.0837e+6,0.15
0.02912,4.46e-4,4.0897e+6,0.15
0.03575,4.89e-4,4.0967e+6,0.15
0.0262,4.27e-4,4.1027e+6,0.15
0.02004,3.81e-4,4.1097e+6,0.15
0.01662,3.52e-4,4.1167e+6,0.15
0.01415,3.3e-4,4.1227e+6,0.15
0.01205,3.11e-4,4.1297e+6,0.15
0.01112,3.01e-4,4.1367e+6,0.15
0.0105,2.95e-4,4.1437e+6,0.15
0.01019,2.93e-4,4.1497e+6,0.15
0.01001,2.91e-4,4.1567e+6,0.15
0.009443,2.85e-4,4.1627e+6,0.15
0.009032,2.81e-4,4.1697e+6,0.15
0.009451,2.85e-4,4.1767e+6,0.15
0.008971,2.8e-4,4.1837e+6,0.15
0.008436,2.75e-4,4.1897e+6,0.15
0.008306,2.74e-4,4.1967e+6,0.15
0.008771,2.79e-4,4.2037e+6,0.15
0.009113,2.83e-4,4.2107e+6,0.15
0.009122,2.83e-4,4.2177e+6,0.15
0.009217,2.84e-4,4.2237e+6,0.15
0.009055,2.83e-4,4.2307e+6,0.15
0.00902,2.83e-4,4.2377e+6,0.15
0.009564,2.9e-4,4.2447e+6,0.15
0.009105,2.84e-4,4.2507e+6,0.15
0.00922,2.86e-4,4.2577e+6,0.15
0.009518,2.89e-4,4.2647e+6,0.15
0.0101,2.95e-4,4.2707e+6,0.15
0.009616,2.9e-4,4.2787e+6,0.15
0.009671,2.91e-4,4.2847e+6,0.15
0.01029,2.97e-4,4.2917e+6,0.15
0.01023,2.97e-4,4.2987e+6,0.15
0.0117,3.12e-4,4.3057e+6,0.15
0.01245,3.2e-4,4.3127e+6,0.15
0.01269,3.22e-4,4.3187e+6,0.15
0.01427,3.37e-4,4.3257e+6,0.15
0.0153,3.46e-4,4.3327e+6,0.15
0.01737,3.64e-4,4.3397e+6,0.15
0.01932,3.8e-4,4.3467e+6,0.15
0.02526,4.24e-4,4.3537e+6,0.15
0.0314,4.66e-4,4.3597e+6,0.15
0.04172,5.3e-4,4.3667e+6,0.15
0.05833,6.18e-4,4.3737e+6,0.15
0.09062,7.6e-4,4.3807e+6,0.15
0.1251,8.87e-4,4.3877e+6,0.15
0.1399,9.37e-4,4.3947e+6,0.15
0.1144,8.5e-4,4.4017e+6,0.15
0.08412,7.34e-4,4.4077e+6,0.15
0.05978,6.27e-4,4.4157e+6,0.15
0.04363,5.42e-4,4.4217e+6,0.15
0.03349,4.81e-4,4.4287e+6,0.15
0.02718,4.41e-4,4.4357e+6,0.15
0.02287,4.1e-4,4.4427e+6,0.15
0.02058,3.92e-4,4.4497e+6,0.15
0.01949,3.84e-4,4.4567e+6,0.15
0.01768,3.7e-4,4.4637e+6,0.15
0.01739,3.68e-4,4.4707e+6,0.15
0.01682,3.63e-4,4.4777e+6,0.15
0.01338,3.33e-4,4.4847e+6,0.15
0.009749,2.99e-4,4.4917e+6,0.15
0.009315,2.95e-4,4.4987e+6,0.15
0.01018,3.03e-4,4.5048e+6,0.15
0.01018,3.03e-4,4.5128e+6,0.15
0.01084,3.11e-4,4.5198e+6,0.15
0.01147,3.17e-4,4.5268e+6,0.15
0.01173,3.19e-4,4.5328e+6,0.15
0.01216,3.24e-4,4.5408e+6,0.15
0.01356,3.37e-4,4.5478e+6,0.15
0.0147,3.47e-4,4.5548e+6,0.15
0.01805,3.75e-4,4.5628e+6,0.15
0.02247,4.1e-4,4.5678e+6,0.15
0.05837,6.22e-4,4.5758e+6,0.15
0.2146,0.001156,4.5828e+6,0.15
0.09969,7.98e-4,4.5888e+6,0.15
0.05503,6.06e-4,4.5958e+6,0.15
0.05684,6.14e-4,4.6028e+6,0.15
0.04585,5.57e-4,4.6108e+6,0.15
0.03559,4.99e-4,4.6178e+6,0.15
0.02988,4.63e-4,4.6248e+6,0.15
0.02799,4.51e-4,4.6318e+6,0.15
0.02724,4.46e-4,4.6388e+6,0.15
0.02755,4.48e-4,4.6458e+6,0.15
0.02803,4.51e-4,4.6528e+6,0.15
0.02942,4.61e-4,4.6598e+6,0.15
0.0308,4.69e-4,4.6668e+6,0.15
0.03221,4.79e-4,4.6738e+6,0.15
0.03428,4.92e-4,4.6818e+6,0.15
0.03713,5.09e-4,4.6878e+6,0.15
0.03751,5.11e-4,4.6958e+6,0.15
0.03919,5.22e-4,4.7028e+6,0.15
0.03985,5.27e-4,4.7098e+6,0.15
0.04039,5.3e-4,4.7168e+6,0.15
0.04135,5.35e-4,4.7238e+6,0.15
0.04086,5.32e-4,4.7308e+6,0.15
0.04062,5.31e-4,4.7388e+6,0.15
0.04068,5.32e-4,4.7458e+6,0.15
0.0398,5.27e-4,4.7528e+6,0.15
0.03965,5.27e-4,4.7598e+6,0.15
0.03986,5.28e-4,4.7668e+6,0.15
0.03958,5.27e-4,4.7738e+6,0.15
0.03938,5.26e-4,4.7808e+6,0.15
0.04001,5.29e-4,4.7888e+6,0.15
0.03969,5.28e-4,4.7958e+6,0.15
0.04062,5.33e-4,4.8028e+6,0.15
0.04114,5.37e-4,4.8098e+6,0.15
0.04123,5.38e-4,4.8168e+6,0.15
0.04128,5.38e-4,4.8238e+6,0.15
0.0393,5.27e-4,4.8318e+6,0.15
0.0373,5.15e-4,4.8388e+6,0.15
0.03724,5.15e-4,4.8458e+6,0.15
0.03474,5.0e-4,4.8528e+6,0.15
0.03338,4.92e-4,4.8608e+6,0.15
0.03496,5.02e-4,4.8748e+6,0.15
0.03596,5.09e-4,4.8818e+6,0.15
0.03669,5.13e-4,4.8898e+6,0.15
0.03895,5.26e-4,4.8968e+6,0.15
0.04165,5.42e-4,4.9038e+6,0.15
0.04595,5.66e-4,4.9108e+6,0.15
0.05051,5.9e-4,4.9188e+6,0.15
0.05548,6.15e-4,4.9258e+6,0.15
0.06435,6.58e-4,4.9328e+6,0.15
0.07244,6.95e-4,4.9398e+6,0.15
0.0859,7.52e-4,4.9479e+6,0.15
0.09913,8.04e-4,4.9549e+6,0.15
0.1212,8.84e-4,4.9619e+6,0.15
0.1442,9.59e-4,4.9699e+6,0.15
0.1644,0.001022,4.9769e+6,0.15
0.1802,0.001068,4.9839e+6,0.15
0.1839,0.001079,4.9919e+6,0.15
0.1768,0.001059,4.9989e+6,0.15
0.1598,0.001009,5.0059e+6,0.15
0.1411,9.51e-4,5.0139e+6,0.15
0.1228,8.9e-4,5.0209e+6,0.15
0.1223,8.88e-4,5.0289e+6,0.15
0.1191,8.78e-4,5.0359e+6,0.15
0.1175,8.72e-4,5.0429e+6,0.15
0.1158,8.67e-4,5.0509e+6,0.15
0.1169,8.7e-4,5.0579e+6,0.15
0.1174,8.72e-4,5.0649e+6,0.15
0.1212,8.86e-4,5.0729e+6,0.15
0.1241,8.96e-4,5.0799e+6,0.15
0.1293,9.14e-4,5.0869e+6,0.15
0.132,9.23e-4,5.0949e+6,0.15
0.1364,9.37e-4,5.1019e+6,0.15
0.1441,9.62e-4,5.1099e+6,0.15
0.1471,9.74e-4,5.1169e+6,0.15
0.1549,9.97e-4,5.1239e+6,0.15
0.1623,0.00102,5.1319e+6,0.15
0.1688,0.001039,5.1389e+6,0.15
0.1732,0.001051,5.1469e+6,0.15
0.1824,0.001078,5.1539e+6,0.15
0.1856,0.001087,5.1619e+6,0.15
0.1899,0.0011,5.1689e+6,0.15
0.1912,0.001103,5.1759e+6,0.15
0.1974,0.001109,5.1839e+6,0.15
0.1997,0.001115,5.1909e+6,0.15
0.2006,0.001117,5.1989e+6,0.15
0.1983,0.001112,5.2059e+6,0.15
0.1958,0.001106,5.2139e+6,0.15
0.1933,0.001099,5.2209e+6,0.15
0.1912,0.001094,5.2289e+6,0.15
0.1886,0.001088,5.2359e+6,0.15
0.1825,0.00107,5.2439e+6,0.15
0.1751,0.00105,5.2509e+6,0.15
0.1752,0.001051,5.2589e+6,0.15
0.1711,0.00104,5.2659e+6,0.15
0.1669,0.001028,5.2739e+6,0.15
0.1642,0.001022,5.2809e+6,0.15
0.1594,0.001009,5.2889e+6,0.15
0.1578,0.001005,5.2959e+6,0.15
0.1626,0.001021,5.3039e+6,0.15
0.1728,0.001052,5.3109e+6,0.15
0.2375,0.001227,5.3189e+6,0.15
0.2561,0.001273,5.3259e+6,0.15
0.1887,0.001101,5.3339e+6,0.15
0.1677,0.001044,5.3419e+6,0.15
0.1598,0.001021,5.3489e+6,0.15
0.1558,0.001012,5.3569e+6,0.15
0.1582,0.00102,5.3639e+6,0.15
0.1598,0.001027,5.3719e+6,0.15
0.1647,0.001044,5.3789e+6,0.15
0.1672,0.001053,5.3869e+6,0.15
0.1804,0.001093,5.3949e+6,0.15
0.1892,0.001119,5.4019e+6,0.15