DATA (B) 0.1,ERR-S (B) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-SYS (PER-CENT) 0.955,EN-CM (EV) 1.1,EN-RSL (PER-CENT) 1.922
0.01922,2.6e-4,16,4,1,16,3.7764e+6,0.2
0.0191,2.5e-4,16,4,1,16,3.7764e+6,0.2
0.01945,2.0e-4,16,4,1,16,3.77903e+6,0.2
0.02761,3.5e-4,16,4,1,16,3.90884e+6,0.2
0.03476,4.9e-4,16,4,1,16,3.93508e+6,0.2
0.0511,6.6e-4,16,4,1,16,4.01765e+6,0.2
0.04854,6.4e-4,16,4,1,16,4.02552e+6,0.2
0.04652,5.8e-4,16,4,1,16,4.03994e+6,0.2
0.04331,5.9e-4,16,4,1,16,4.06616e+6,0.2
0.04302,5.8e-4,16,4,1,16,4.09237e+6,0.2
0.04538,5.9e-4,16,4,1,16,4.11728e+6,0.2
0.04986,6.7e-4,16,4,1,16,4.14349e+6,0.2
0.05647,8.3e-4,16,4,1,16,4.17102e+6,0.2
0.0651,8.7e-4,16,4,1,16,4.19724e+6,0.2
0.07877,0.001,16,4,1,16,4.22345e+6,0.2
0.09429,0.00117,16,4,1,16,4.24967e+6,0.2
0.10109,0.0012,16,4,1,16,4.26277e+6,0.2
0.11922,0.00138,16,4,1,16,4.28769e+6,0.2
0.1277,0.0015,16,4,1,16,4.3021e+6,0.2
0.13159,0.00152,16,4,1,16,4.32832e+6,0.2
0.12179,0.00152,16,4,1,16,4.35454e+6,0.2
0.11072,0.00132,16,4,1,16,4.36634e+6,0.2
0.08725,0.00111,16,4,1,16,4.39387e+6,0.2
0.08184,0.001,16,4,1,16,4.42139e+6,0.2
0.10602,0.00126,16,4,1,16,4.44499e+6,0.2
0.06638,8.0e-4,16,4,1,16,4.47383e+6,0.2
0.03604,4.6e-4,16,4,1,16,4.49873e+6,0.2
0.02649,3.4e-4,16,4,1,16,4.51053e+6,0.2
0.01721,2.3e-4,16,4,1,16,4.53675e+6,0.2
0.01135,1.5e-4,16,4,1,16,4.56558e+6,0.2
0.00872,1.7e-4,16,4,1,16,4.59049e+6,0.2
0.00758,1.3e-4,16,4,1,16,4.60359e+6,0.2
0.00649,1.2e-4,16,4,1,16,4.61669e+6,0.2
0.00504,1.1e-4,16,4,1,16,4.64289e+6,0.2
0.00462,1.0e-4,16,4,1,16,4.65469e+6,0.2
0.0037,8.0e-5,16,4,1,16,4.68089e+6,0.2
0.00307,7.0e-5,16,4,1,16,4.70709e+6,0.2
0.00328,8.0e-5,16,4,1,16,4.7333e+6,0.2
0.01104,1.7e-4,16,4,1,16,4.75951e+6,0.2
0.00453,1.0e-4,16,4,1,16,4.78702e+6,0.2
0.00431,1.0e-4,16,4,1,16,4.81191e+6,0.2
0.03406,4.5e-4,16,4,1,16,4.83812e+6,0.2
0.00136,3.0e-5,16,4,1,16,5.08707e+6,0.2
0.0024,4.0e-5,16,4,1,16,5.15258e+6,0.2
0.00525,8.0e-5,16,4,1,16,5.21941e+6,0.2
0.00819,1.1e-4,16,4,1,16,5.28752e+6,0.2
0.02054,2.7e-4,16,4,1,16,5.35039e+6,0.2
0.00774,1.1e-4,16,4,1,16,5.42244e+6,0.2
0.00657,9.0e-5,16,4,1,16,5.48138e+6,0.2
0.00697,1.4e-4,16,4,1,16,5.59402e+6,0.2
0.00764,1.6e-4,16,4,1,16,5.61891e+6,0.2
0.01076,1.9e-4,16,4,1,16,5.64903e+6,0.2
0.01576,2.2e-4,16,4,1,16,5.67392e+6,0.2
0.03205,4.0e-4,16,4,1,16,5.6975e+6,0.2
0.0859,9.9e-4,16,4,1,16,5.72369e+6,0.2
0.06934,8.6e-4,16,4,1,16,5.75119e+6,0.2
0.03422,4.6e-4,16,4,1,16,5.76299e+6,0.2
0.02388,2.8e-4,16,4,1,16,5.78002e+6,0.2
0.02361,2.6e-4,16,4,1,16,5.78133e+6,0.2
0.01216,1.5e-4,16,4,1,16,5.81014e+6,0.2
0.00902,1.0e-4,16,4,1,16,5.83633e+6,0.2
0.00641,8.0e-5,16,4,1,16,5.86122e+6,0.2
0.00622,8.0e-5,16,4,1,16,5.88611e+6,0.2
0.00665,8.0e-5,16,4,1,16,5.91753e+6,0.2
0.00804,9.0e-5,16,4,1,16,5.94111e+6,0.2
0.04778,5.4e-4,16,4,1,16,6.00528e+6,0.2
0.02314,3.1e-4,16,4,1,16,6.06944e+6,0.2
0.03816,5.0e-4,16,4,1,16,6.13753e+6,0.2
0.12647,0.00132,16,4,1,16,6.52645e+6,0.2
0.08715,9.1e-4,16,4,1,16,6.55265e+6,0.2
0.07811,8.1e-4,16,4,1,16,6.58145e+6,0.2
0.08054,8.4e-4,16,4,1,16,6.60763e+6,0.2
0.08749,9.1e-4,16,4,1,16,6.63381e+6,0.2
0.09773,0.00102,16,4,1,16,6.66001e+6,0.2
0.10998,0.00114,16,4,1,16,6.6875e+6,0.2
0.12372,0.00129,16,4,1,16,6.71237e+6,0.2
0.13567,0.00142,16,4,1,16,6.73855e+6,0.2
0.14209,0.00148,16,4,1,16,6.76343e+6,0.2
0.14431,0.00151,16,4,1,16,6.78961e+6,0.2
0.1383,0.00144,16,4,1,16,6.81711e+6,0.2
0.13498,0.00141,16,4,1,16,6.82759e+6,0.2
0.13028,0.00136,16,4,1,16,6.8433e+6,0.2
0.12662,0.00133,16,4,1,16,6.85508e+6,0.2
0.12259,0.00128,16,4,1,16,6.86817e+6,0.2
0.11904,0.00124,16,4,1,16,6.88388e+6,0.2
0.11753,0.00123,16,4,1,16,6.89566e+6,0.2
0.11711,0.00122,16,4,1,16,6.90744e+6,0.2
0.1259,0.00131,16,4,1,16,6.92053e+6,0.2
0.16893,0.00176,16,4,1,16,6.94673e+6,0.2
0.13224,0.00137,16,4,1,16,6.96113e+6,0.2
0.11791,0.00123,16,4,1,16,6.986e+6,0.2
0.13301,0.00139,16,4,1,16,7.02659e+6,0.2
0.16662,0.00173,16,4,1,16,7.06587e+6,0.2
0.18404,0.00192,16,4,1,16,7.08681e+6,0.2
0.18537,0.00194,16,4,1,16,7.11693e+6,0.2
0.1992,0.00209,16,4,1,16,7.14442e+6,0.2
0.20536,0.00215,16,4,1,16,7.16929e+6,0.2
0.16157,0.00169,16,4,1,16,7.1968e+6,0.2
0.1054,0.0011,16,4,1,16,7.23475e+6,0.2
0.08045,8.4e-4,16,4,1,16,7.27795e+6,0.2
0.07216,7.4e-4,16,4,1,16,7.3146e+6,0.2
0.07022,7.3e-4,16,4,1,16,7.35257e+6,0.2
0.07516,7.8e-4,16,4,1,16,7.39708e+6,0.2
0.08591,9.0e-4,16,4,1,16,7.43373e+6,0.2
0.11747,0.00123,16,4,1,16,7.47301e+6,0.2
0.1508,0.00156,16,4,1,16,7.49787e+6,0.2
0.18255,0.00191,16,4,1,16,7.52405e+6,0.2
0.18736,0.00193,16,4,1,16,7.55023e+6,0.2
0.17602,0.00182,16,4,1,16,7.57642e+6,0.2
0.16568,0.00173,16,4,1,16,7.60783e+6,0.2
0.16222,0.00169,16,4,1,16,7.62878e+6,0.2
0.16392,0.0017,16,4,1,16,7.65496e+6,0.2
0.17103,0.00178,16,4,1,16,7.68115e+6,0.2
0.1871,0.00196,16,4,1,16,7.7047e+6,0.2
0.22733,0.00238,16,4,1,16,7.73482e+6,0.2
0.30372,0.00318,16,4,1,16,7.75968e+6,0.2
0.32979,0.00345,16,4,1,16,7.78586e+6,0.2
0.28268,0.00293,16,4,1,16,7.81204e+6,0.2
0.24454,0.00265,16,4,1,16,7.83692e+6,0.2
0.2261,0.00237,16,4,1,16,7.83823e+6,0.2
0.18199,0.0019,16,4,1,16,7.86441e+6,0.2
0.15848,0.00166,16,4,1,16,7.8919e+6,0.2
0.15675,0.00165,16,4,1,16,7.90105e+6,0.2
0.15461,0.00162,16,4,1,16,7.90367e+6,0.2
0.15933,0.00167,16,4,1,16,7.91807e+6,0.2
0.16809,0.00176,16,4,1,16,7.92854e+6,0.2
0.20244,0.00212,16,4,1,16,7.94164e+6,0.2
0.25262,0.00264,16,4,1,16,7.95473e+6,0.2
0.29349,0.00302,16,4,1,16,7.9665e+6,0.2
0.3412,0.00356,16,4,1,16,7.96913e+6,0.2
0.40054,0.00419,16,4,1,16,7.9822e+6,0.2
0.39346,0.00468,16,4,1,16,7.99268e+6,0.2
0.37165,0.0039,16,4,1,16,7.9966e+6,0.2
0.33019,0.00346,16,4,1,16,8.00708e+6,0.2
0.27982,0.00293,16,4,1,16,8.02017e+6,0.2
0.30419,0.00313,16,4,1,16,8.02148e+6,0.2
0.21898,0.00229,16,4,1,16,8.04766e+6,0.2
0.20127,0.00211,16,4,1,16,8.07252e+6,0.2
0.19551,0.00205,16,4,1,16,8.08561e+6,0.2
0.18563,0.00196,16,4,1,16,8.12619e+6,0.2
0.18213,0.00192,16,4,1,16,8.16415e+6,0.2
0.18316,0.00234,16,4,1,16,8.16676e+6,0.2
0.17962,0.0019,16,4,1,16,8.20473e+6,0.2
0.1848,0.0022,16,4,1,16,8.22828e+6,0.2
0.19089,0.00202,16,4,1,16,8.2466e+6,0.2
0.20386,0.00213,16,4,1,16,8.26625e+6,0.2
0.22293,0.00274,16,4,1,16,8.29503e+6,0.2
0.22706,0.0024,16,4,1,16,8.30289e+6,0.2
0.22866,0.0024,16,4,1,16,8.33431e+6,0.2
0.20816,0.00221,16,4,1,16,8.3618e+6,0.2
0.21574,0.00265,16,4,1,16,8.3618e+6,0.2
0.17706,0.0019,16,4,1,16,8.39583e+6,0.2
0.17112,0.00187,16,4,1,16,8.41153e+6,0.2
0.14902,0.00164,16,4,1,16,8.49137e+6,0.2
0.14696,0.00165,16,4,1,16,8.53719e+6,0.2
0.15083,0.0018,16,4,1,16,8.67591e+6,0.2
0.16813,0.00209,16,4,1,16,8.80679e+6,0.2
0.18899,0.0024,16,4,1,16,8.85914e+6,0.2
0.21142,0.00267,16,4,1,16,8.8984e+6,0.2
0.24848,0.00304,16,4,1,16,8.93766e+6,0.2
0.2828,0.00338,16,4,1,16,8.97693e+6,0.2
0.28189,0.00352,16,4,1,16,9.01488e+6,0.2
0.25431,0.00338,16,4,1,16,9.05546e+6,0.2
0.24462,0.00349,16,4,1,16,9.09472e+6,0.2
0.25513,0.00371,16,4,1,16,9.14576e+6,0.2
0.26275,0.00399,16,4,1,16,9.18502e+6,0.2
0.2588,0.00412,16,4,1,16,9.22167e+6,0.2
0.24373,0.00421,16,4,1,16,9.25307e+6,0.2
0.23799,0.00425,16,4,1,16,9.26355e+6,0.2
0.24175,0.00436,16,4,1,16,9.27793e+6,0.2
0.243,0.00444,16,4,1,16,9.28971e+6,0.2
0.25846,0.00464,16,4,1,16,9.30411e+6,0.2
0.2812,0.00485,16,4,1,16,9.31458e+6,0.2
0.30861,0.00513,16,4,1,16,9.32898e+6,0.2
0.25527,0.00489,16,4,1,16,9.34337e+6,0.2
0.24105,0.00492,16,4,1,16,9.35776e+6,0.2
0.23653,0.00498,16,4,1,16,9.36824e+6,0.2
0.23469,0.00508,16,4,1,16,9.38133e+6,0.2
0.22656,0.00532,16,4,1,16,9.41404e+6,0.2
0.2256,0.00565,16,4,1,16,9.44937e+6,0.2
0.21801,0.00627,16,4,1,16,9.51349e+6,0.2
0.24354,0.00712,16,4,1,16,9.57762e+6,0.2
0.26512,0.0081,16,4,1,16,9.64567e+6,0.2
0.26754,0.00811,16,4,1,16,9.64567e+6,0.2
0.25864,0.00904,16,4,1,16,9.7098e+6,0.2
0.27295,0.01016,16,4,1,16,9.77392e+6,0.2
0.27392,0.01065,16,4,1,16,9.8001e+6,0.2
0.26729,0.01195,16,4,1,16,9.86815e+6,0.2
0.24652,0.01331,16,4,1,16,9.93227e+6,0.2
0.25395,0.0149,16,4,1,16,9.99639e+6,0.2
0.34031,0.01695,16,4,1,16,1.00657e+7,0.2
0.3932,0.01799,16,4,1,16,1.00958e+7,0.2
0.38891,0.0181,16,4,1,16,1.01024e+7,0.2
0.31536,0.02192,16,4,1,16,1.02293e+7,0.2
0.19317,0.03071,16,4,1,16,1.04531e+7,0.2